OBJECTID,IHDID,lake_name,New_Key,Area_ac,Volume_ac_ft,MeanDepth_ft,MaxDepth_ft
925,121859251,Silver Lake,18-150,56.21993376,1202.736765,21.39342194,52
926,121859500,Big Lake,67-1,210.7280098,3576.325051,16.97128471,85
927,44365442,Ironjaw Lake,75-530,67.97275991,769.7075643,11.32376507,41
928,44365716,Straits Lake,75-538,181.7890044,1393.595772,7.66600695,25
929,44365716,Straits Lake,75-543,31.45231427,573.9871292,18.24944022,40
930,92131602,Brampton Lake,21-242,24.39646721,112.2259978,4.60009217,7
931,109943606,Cranberry Lake,48-601,90.58562048,77.22352053,0.85249204,5
932,109944304,Stuart Lake,48-290,74.59913782,971.0248128,13.01656884,23
933,118254033,Peach Lake,65-79,233.0737495,4509.892641,19.34963783,73
934,60090988,Cool Lake,43-237,82.8907589,1794.766787,21.65219394,43
935,123147761,Foxpaw Lake,27-892,16.04677637,120.8996438,7.53420133,31
936,123147745,Mishike Lake,27-909,13.41411563,149.6399765,11.15541126,31
937,105233863,Little Pelissier Lake,52-989,9.67541121,7.14888224,0.73887115,5
938,70330417,Bearpaw Lake,36-445,14.24661366,113.0195767,7.93308357,17
939,70330185,Moss Lake,27-232,33.44027706,422.7730914,12.64263124,41
940,82816948,Gifford Lake,43-78,43.37465471,774.4748449,17.85546997,37
941,109946536,Sporley Lake,52-139,77.02101767,1748.562529,22.7024075,42
942,110736311,Light Lake,36-630,125.9308329,1298.050499,10.30764642,27
943,113471013,Crooked Lake,60-91,49.31358545,1004.079235,20.36110791,51
944,120020856,Post Lake,40-133,15.48757689,42.2031281,2.72496649,7
945,60088122,East Lake,40-61,93.82047702,621.2575238,6.62176897,16
946,83975637,Five Lakes,69-285,49.23080515,119.5409349,2.42817347,7
947,83975637,Five Lakes,69-286,19.48870723,64.45645033,3.30737435,7
948,83975801,Big Bass Lake,69-39,67.28778379,760.4020699,11.30074476,32
949,83975911,Big Chub Lake,69-66,70.30815287,3023.711796,43.00656001,83
950,70330495,Smoky Lake,36-456,568.3833969,13918.09719,24.48716354,60
951,70330209,Cub Lake,27-255,32.93123998,339.9866109,10.32413633,23
952,111860663,Gibson Lake,36-690,84.43294358,918.4343629,10.87767788,23
953,121859866,Haymarsh Lakes,54-281,333.3844494,1371.11746,4.1127217,25
954,121860155,Round Lake,54-51,159.8727339,2660.391147,16.64068088,45
955,121860155,Round Lake,54-54,302.8360466,3392.267866,11.20166474,39
956,123394302,Rookery Lake,36-2062,9.5234414,91.93358033,9.65339907,22
957,123394464,Robbins Pond,66-175,4.80496414,14.16494533,2.94798149,6
958,123397067,Tamarack Lake,36-768,350.0188423,3785.019383,10.81375893,18
959,123397287,West Bear Lake,27-170,64.40950031,820.7353198,12.74245749,21
960,123397426,Katherine Lake,27-184,41.94910377,675.6409703,16.10620751,56
961,82816786,Watermill Lake,43-56,12.44076754,152.4524064,12.25426052,26
962,44361214,Hemlock Lake,2-613,37.3727121,455.5239444,12.18867775,29
963,44364812,Fish Lake,2-27,136.3085176,2149.513744,15.76947488,42
964,44365260,Grants Lake,2-68,14.53375012,233.292932,16.05180563,25
965,116542719,Toivola Lakes,31-1052,11.24749565,56.48742533,5.02222247,8
966,109943924,Betsy Lake,48-443,1366.859217,8057.271397,5.89473393,8
967,113471321,West Fish Lake,60-47,12.33525354,58.96811626,4.78045434,12
968,113471507,McCollum Lake,68-103,218.7344713,3388.953318,15.49345788,59
969,83976035,Little Bear Lake,68-147,54.14820224,239.3581336,4.42042623,17
970,120020868,Birch Lake,27-13,203.1253186,1328.165603,6.53865117,15
971,123110977,Huckleberry Lake,17-215,9.33094631,22.71899232,2.43480046,4
972,121860427,Brady Lake,54-29,56.7727085,403.4668715,7.10670465,17
973,44364468,Thornton Lake,2-1,30.51084277,298.3840725,9.77960769,18
974,44364892,Spot Lake,2-31,7.59181863,100.2495413,13.20494418,28
975,44365014,Farm Lake,75-495,74.15657208,410.4690967,5.53516816,11
976,44365904,Island Lake,75-297,80.09698545,1787.33534,22.31463931,56
977,44365904,Island Lake,75-298,108.4283588,1898.270706,17.5071423,61
978,86671829,West Twin Lake,48-27,96.04318993,1624.734316,16.91670505,61
979,86671829,West Twin Lake,48-28,96.04318993,1624.734316,16.91670505,61
980,109943604,Muskallonge Lake,48-566,778.188221,7332.999223,9.42316913,21
981,109943622,Randolph Lake,48-703,13.21173633,15.67414145,1.18638013,3
982,109946528,Joe Lake,2-232,78.81302589,1304.637958,16.55358291,36
983,113235973,West Branch Lake,2-85,135.7384455,1096.34579,8.07689955,20
984,113235979,Stoner Lake,2-124,79.65268998,432.2245016,5.42636415,18
985,118043949,Crossville Lake,49-202,25.41898928,123.608413,4.86283745,6
986,118044231,Peggley Lake,49-213,24.37694588,116.9937726,4.79936138,6
987,83977329,Island Lake,65-173,62.1220458,378.0817356,6.08611212,26
988,83976591,Byron Lake,1-61,10.99569526,68.05158653,6.18892984,22
989,83976145,River Lake,20-95,12.36441197,144.1122291,11.655405,30
990,70330155,Deer Island Lake,27-207,292.493945,5298.307442,18.11424657,53
991,123147972,Moraine Lake,27-930,80.00852173,945.0047397,11.81130109,21
992,121861263,Bear Lake,61-66,667.4899522,15967.99052,23.92244328,67
993,122382924,Richard Lake,71-106,9.80514154,31.81036997,3.24425403,10
994,123393006,Lake On-Three,31-84,24.21484475,401.3979817,16.57652509,46
995,123394263,Hehe Lake,36-2063,6.13562662,22.64053637,3.69001208,7
996,123397714,Dumbell Lake,27-284,5.65821902,66.96753522,11.83544414,35
997,123397860,Brown Lake,27-298,72.63613267,708.7503733,9.75754555,17
998,44364560,Moccasin Lake,2-2,80.88599294,1233.548087,15.25045367,23
999,44365654,Toms Lake,75-542,27.58412663,259.0886334,9.39267126,41
1000,86671661,Whitmarsh Lake,17-267,11.40712572,56.5729238,4.95943721,8
1001,86672271,Big Dollar Lake,49-336,61.02811027,323.8138108,5.30597801,9
1002,75472993,Carney Lake,22-65,109.3322702,1574.965933,14.40531628,35
1003,82816466,Feeder Lake,43-140,7.64272234,11.38723374,1.48994471,2
1004,82818010,Nichols Lake,62-358,143.0369501,2297.376786,16.06142178,53
1005,82820094,Britton Lake,61-154,25.57293593,261.3260491,10.21885206,23
1006,82820404,Mona Lake,61-7,668.0382791,9870.688339,14.77563285,42
1007,109945430,East Lake,2-562,12.42594121,50.70281191,4.08040011,6
1008,110734687,Lake 41,52-1444,4.60975089,65.031341,14.10734388,31
1009,110735835,Horseshoe Lake,52-661,128.9423062,1130.393575,8.76666168,24
1010,118252977,Rifle Lake,65-149,182.7215801,4847.281928,26.52823998,71
1011,118253143,South Dease Lake,65-152,273.74433,3740.701527,13.66494615,34
1012,60091018,Center Lake,67-377,40.5682789,748.8753451,18.4596282,38
1013,83977511,Harper Lake,65-216,8.77174683,159.7202699,18.20849062,36
1014,83975837,Clear Lake,69-8,36.23553314,837.0363676,23.09987725,58
