OBJECTID,TRANSCODE,TC_METHOD,NAME,UNIQUE_ID,LAKE_NAME,NEW_KEY,X_COORD,Y_COORD,COMID,FDATE,GNIS_ID,GNIS_NAME,REACHCODE,FTYPE,FCODE,CI_TR,PU_CODE
1,River,Checked,Lowell,70639,Flat River,41-181.1,553703.7826,267812.3589,,,,,,,,,
2,River,Checked,Lowell,-70639,Flat River,41-181,554856.7489,269190.086,,,,,,,,,
3,River,Checked,Au Train River,70668,Au Train River,2-453,436197.7967,653425.3219,,,,,,,,,
4,River,Checked,Webber Impoundment,70673,Webber,34-32,588902.7192,266110.8016,,,,,,,,,
5,River,Checked,Chalk Hill Impoundment,70669,Chalk Hill Impoundment,55-41,358609.4035,555234.1536,,,,,,,,,
6,River,Checked,Lowell Impoundment,70670,Lowell Impoundment,34-58,557772.2185,275256.3776,,,,,,,,,
7,River,Checked,Marinette Upper Dam #3,70671,Marinette Upper Dam #3,55-2,368436.8877,509064.9321,,,,,,,,,
8,River,Checked,No Name,44426,No Name,70-158,485781.1574,278080.0023,,,,,,,,,
9,sagnw34157,spatjoin,No Name,38585,No Name,2-Sep,668331.2414,336235.7506,,,,,,,,,
10,menom73899,spatjoin,No Name,21263,No Name,22-6,359083.6416,583535.0916,,,,,,,,,
11,River,Checked,No Name,43643,No Name,77-196.1,776703.1964,284772.4587,,,,,,,,,
12,River,Checked,Paw Paw River,70532,Paw Paw River,80-253,486862.6272,185104.7008,,,,,,,,,
13,No WB,Checked,No Name,-62982,No Name,39-315,521696.4711,179786.6468,,,,,,,,,
14,River,Checked,Pine River,70484,Pine River,29-101,611839.83,318310.28,70484,,,,,,,,
15,TlngsPond,Checked,Tailing Pond,70480,Tailings Pond,66-560,231669.4424,698087.5773,,,,,,,,,
17,IsleRoyale,Checked,Lake Ahmik,2,"Ahmik, Lake",42-288,310916.6058,847239.2233,,,,,,,,,
18,IsleRoyale,Checked,Amygdaloid Lake,3,Amygdaloid Lake,42-290,303776.6193,847148.964,,,,,,,,,
20,IsleRoyale,Checked,Patterson Lake,5,Patterson Lake,42-289,310012.4653,846544.3766,,,,,,,,,
21,IsleRoyale,Checked,Moose Lake,6,Moose Lake,42-287,312890.5166,846469.0719,,,,,,,,,
24,IsleRoyale,Checked,,9,no name,42-359,311748.098,845818.6266,,,,,,,,,
25,IsleRoyale,Checked,,10,no name,42-357,308174.9344,845913.7184,,,,,,,,,
42,IsleRoyale,Checked,Lake Eva,28,"Eva, Lake",42-291,303404.7917,844652.0823,,,,,,,,,
52,IsleRoyale,Checked,Linklater Lake,40,Linklater Lake,42-303,303207.5079,843448.599,,,,,,,,,
69,IsleRoyale,Checked,Lake Shesheeb,58,"Shesheeb, Lake",42-305,302414.0851,842865.2298,,,,,,,,,
76,IsleRoyale,Checked,Sargent Lake,67,Sargent Lake,42-311,301816.2852,841481.7676,,,,,,,,,
78,IsleRoyale,Checked,Lake Ojibway,69,"Ojibway, Lake",42-315,305570.5914,842145.9316,,,,,,,,,
89,IsleRoyale,Checked,Lake Wagejo,88,"Wagejo, Lake",42-321,302795.5303,841095.5419,,,,,,,,,
90,IsleRoyale,Checked,McDonald Lake,89,McDonald Lake,42-336,296367.9175,841018.4614,,,,,,,,,
91,IsleRoyale,Checked,Angleworm Lake,90,Angleworm Lake,42-320,302507.1368,840253.7533,,,,,,,,,
92,IsleRoyale,Checked,Lake Benson,93,"Benson, Lake",42-319,303844.7118,840620.3497,,,,,,,,,
93,IsleRoyale,Checked,Forbes Lake,96,Forbes Lake,42-318,304698.5126,840617.3943,,,,,,,,,
98,IsleRoyale,Checked,Beaver Lake,103,Beaver Lake,42-339,294491.0335,840154.658,,,,,,,,,
103,IsleRoyale,Checked,Otter Lake,108,Otter Lake,42-338,294807.0585,839830.3653,,,,,,,,,
116,IsleRoyale,Checked,Chickenbone Lake,121,Chickenbone Lake,42-205,297661.7888,838793.9526,,,,,,,,,
125,IsleRoyale,Checked,Sumner Lake,132,Sumner Lake,42-324,305227.2554,838716.9991,,,,,,,,,
126,IsleRoyale,Checked,Lake Livermore,134,"Livermore, Lake",42-204,298035.0634,838283.225,,,,,,,,,
130,IsleRoyale,Checked,,138,no name,42-356,307277.2048,838338.8248,,,,,,,,,
137,IsleRoyale,Checked,Newt Lake,146,Newt Lake,42-177,305188.9926,837837.752,,,,,,,,,
138,IsleRoyale,Checked,LeSage Lake,147,LeSage Lake,42-202,297972.179,837426.1577,,,,,,,,,
141,IsleRoyale,Checked,,152,no name,42-358,299712.9019,837536.6725,,,,,,,,,
146,IsleRoyale,Checked,Wallace Lake,158,Wallace Lake,42-179,303927.9875,837242.1142,,,,,,,,,
148,IsleRoyale,Checked,Lake John,160,"John, Lake",42-175,306928.4745,837182.6334,,,,,,,,,
150,IsleRoyale,Checked,Lake Harvey,163,"Harvey, Lake",42-207,291475.7785,836877.8107,,,,,,,,,
215,thbay71333,spatjoin,no name,25953,No Name,1-197,701724.6272,473730.3723,113471333,12/9/03,,,4.07001E+12,390,39004,71333,thbay
216,lnocq83359,spatjoin,Cedar Lake,70153,Cedar Lake,Jan-52,711836.0323,444872.7309,122383359,7/1/04,,,4.07E+12,390,39004,83359,lnocq
225,kewee42333,spatjoin,Owl Lake,380,Owl Lake,42-127,334860.4779,765832.0164,116542333,1/9/04,634253,Owl Lake,4.0201E+12,390,39004,42333,kewee
234,IsleRoyale,Checked,Lake Richie,175,"Richie, Lake",42-200,298924.6961,835924.0388,,,,,,,,,
260,,,Epidote Lake,207,Epidote Lake,42-188,304943.3653,835387.2572,,,,,,,,,
262,IsleRoyale,Checked,Lake Mason,209,"Mason, Lake",42-185,303221.5091,835011.7105,,,,,,,,,
270,IsleRoyale,Checked,Intermediate Lake,217,Intermediate Lake,42-223,296498.5614,834553.5567,,,,,,,,,
273,IsleRoyale,Checked,Lake Theresa,220,"Theresa, Lake",42-189,303703.1217,834742.9416,,,,,,,,,
279,IsleRoyale,Checked,Hatchet Lake,227,Hatchet Lake,42-265,287617.145,834138.0485,,,,,,,,,
289,IsleRoyale,Checked,Siskiwit Lake,69881,Siskiwit Lake,42-165,291055.4365,831463.2783,,,,,,,,,
302,IsleRoyale,Checked,,252,No Name,42-360,301092.6997,833021.1904,,,,,,,,,
310,IsleRoyale,Checked,Lake Whittlesey,266,"Whittlesey, Lake",42-244,297891.0186,831803.1273,,,,,,,,,
311,IsleRoyale,Checked,Wood Lake,69882,Wood Lake,42-242,295239.3205,831574.6559,,,,,,,,,
312,IsleRoyale,Checked,Lake Scholts,268,"Scholts, Lake",42-247,299274.266,832029.0864,,,,,,,,,
313,IsleRoyale,Checked,,269,no name,42-276,279701.0907,831951.4452,,,,,,,,,
314,IsleRoyale,Checked,Lake George,270,"George, Lake",42-249,299463.9223,831867.3168,,,,,,,,,
318,IsleRoyale,Checked,Lake Dustin,279,"Dustin, Lake",42-252,298616.6722,831551.0734,,,,,,,,,
331,IsleRoyale,Checked,Lake Desor,298,"Desor, Lake",42-167,276900.7078,829119.1956,,,,,,,,,
335,,,No Name,302,No Name,42-362,293888.4318,829648.5742,,,,,,,,,
338,IsleRoyale,Checked,Mud Lake,308,Mud Lake,42-166,283634.7669,827398.281,,,,,,,,,
342,IsleRoyale,Checked,,312,no name,42-169,276949.1177,823077.5456,,,,,,,,,
345,IsleRoyale,Checked,Lily Lake,315,Lily Lake,42-173,268918.4328,822384.5646,,,,,,,,,
348,IsleRoyale,Checked,,318,no name,42-154,278408.1179,819506.4368,,,,,,,,,
350,IsleRoyale,Checked,Lake Halloran,320,"Halloran, Lake",42-156,274577.7497,817902.954,,,,,,,,,
351,IsleRoyale,Checked,Stickleback Lake,321,Stickleback Lake,42-158,275855.5364,817693.5668,,,,,,,,,
355,IsleRoyale,Checked,Feldtmann Lake,325,Feldtmann Lake,42-161,262661.3431,816292.3143,,,,,,,,,
360,,,No Name,330,No Name,42-361,262482.7357,813196.8163,,,,,,,,,
367,No WB,Checked,Perch Lake,409,Perch Lake,42-59,378203.0631,763712.7618,,,,,,,,,
430,No WB,Checked,Lily Pond,70158,Lily Pond,31-1279,301504.73,743340.1266,,,,,,,,,
481,,,Incline Dam Pond,621,,31-1182,315550.7667,740669.7211,,,,,,,,,
548,kewee42783,spatjoin,Stonington Lake,1232,Stonington Lake,31-1070,287849.7965,716087.5476,116542783,1/9/04,638888,Stonington Lake,4.0201E+12,390,39004,42783,kewee
569,kewee42253,spatjoin,Schlatter Lake,378,Schlatter Lake,42-61,368504.4324,765602.29,116542253,1/9/04,637340,Schlatter Lake,4.0201E+12,390,39004,42253,kewee
574,kewee42807,spatjoin,Seventeenmile Lake,1308,Seventeenmile Lake,31-1068,288999.7157,715015.0337,116542807,1/9/04,637602,Seventeenmile Lake,4.0201E+12,390,39004,42807,kewee
582,kewee42463,spatjoin,Seneca Lake,465,Seneca Lake,42-50,320363.3637,754224.2179,116542463,1/9/04,637576,Seneca Lake,4.0201E+12,390,39004,42463,kewee
587,kewee42703,spatjoin,Lake Eva,957,"Eva, Lake",31-1022,289774.9196,722281.9514,116542703,1/9/04,625663,"Eva, Lake",4.0201E+12,390,39004,42703,kewee
598,kewee42387,spatjoin,Central Lake,411,Central Lake,42-140,334374.4891,763876.6944,116542387,1/9/04,623003,Central Lake,4.0201E+12,390,39004,42387,kewee
605,kewee42621,spatjoin,Mud Lake,784,Mud Lake,31-1181,324090.6745,733425.8022,116542621,1/9/04,633062,Mud Lake,4.0201E+12,390,39004,42621,kewee
608,kewee42533,spatjoin,,586,no name,42-32,332648.7896,742316.1686,116542533,1/9/04,,,4.0201E+12,390,39004,42533,kewee
610,kewee42557,spatjoin,Tear Lake,575,Tear Lake,31-1261,298027.897,742867.3815,116542557,1/9/04,1614647,Tear Lake,4.0201E+12,390,39004,42557,kewee
910,kewee42589,spatjoin,Little Rice Lake,734,Little Rice Lake,31-1172,327736.2848,736107.4535,116542589,1/9/04,630749,Little Rice Lake,4.0201E+12,390,39004,42589,kewee
913,kewee42289,spatjoin,North Pond,361,North Pond,42-105,343039.1844,767396.3619,116542289,1/9/04,633630,North Pond,4.0201E+12,390,39004,42289,kewee
918,kewee42403,spatjoin,Lac La Belle,434,"La Belle, Lac",42-33,348230.1759,760063.4355,116542403,1/9/04,629901,"Belle, Lac La",4.0201E+12,390,39004,42403,kewee
920,kewee42577,spatjoin,Lake Annie,652,"Annie, Lake",31-1192,303572.9615,739391.2971,116542577,1/9/04,620142,"Annie, Lake",4.0201E+12,390,39004,42577,kewee
921,kewee42693,spatjoin,Lake Perrault,923,"Perrault, Lake",31-1145,292138.8587,723396.8342,116542693,1/9/04,1623739,"Perrault, Lake",4.0201E+12,390,39004,42693,kewee
612,kewee42605,spatjoin,Torch Lake,612,Torch Lake,31-1178,316206.4726,737443.0747,116542605,1/9/04,1614969,Torch Lake,4.0201E+12,390,39004,42605,kewee
613,kewee42771,spatjoin,Lake Ongie,1197,"Ongie, Lake",31-1061,287948.4071,716610.1094,116542771,1/9/04,634067,"Ongie, Lake",4.0201E+12,390,39004,42771,kewee
633,kewee42321,spatjoin,Lake Bay,419,"Lake, Bay",42-64,366664.591,763043.5848,116542321,1/9/04,620784,"Lake, Bay",4.0201E+12,390,39004,42321,kewee
639,kewee42273,spatjoin,Eliza Lake,349,Eliza Lake,42-100,336131.8918,768812.3962,116542273,1/9/04,625443,Eliza Lake,4.0201E+12,390,39004,42273,kewee
640,kewee42423,spatjoin,Deer Lake,449,Deer Lake,42-34,345973.6896,757697.2036,116542423,1/9/04,624489,Deer Lake,4.0201E+12,390,39004,42423,kewee
641,kewee42439,spatjoin,Horseshoe Pond,452,Horseshoe Pond,42-40,327989.4895,757467.7648,116542439,1/9/04,628633,Horseshoe Pond,4.0201E+12,390,39004,42439,kewee
642,kewee42497,spatjoin,,490,no name,31-1278,315737.4526,748702.8627,116542497,1/9/04,,,4.0201E+12,390,39004,42497,kewee
672,kewee42317,spatjoin,Copper Lake,412,Copper Lake,42-76,361507.8389,763755.9027,116542317,1/9/04,623811,Copper Lake,4.0201E+12,390,39004,42317,kewee
673,kewee42271,spatjoin,Gill Lake,395,Gill Lake,42-62,370335.146,765172.7993,116542271,1/9/04,626826,Gill Lake,4.0201E+12,390,39004,42271,kewee
680,kewee42521,spatjoin,,574,no name,42-12,335661.2146,742921.8074,116542521,1/9/04,,,4.0201E+12,390,39004,42521,kewee
691,kewee43081,spatjoin,,1519,Mud Lake,31-1267,286049.5988,711603.2372,116543081,1/9/04,,,4.0201E+12,390,39004,43081,kewee
705,kewee42215,spatjoin,Lake Glazon,331,"Glazon, Lake",42-150,349288.0727,771178.1628,116542215,1/9/04,626866,"Glazon, Lake",4.0201E+12,390,39004,42215,kewee
716,kewee42221,spatjoin,Mud Lake,341,Mud Lake,42-148,361477.7613,769517.171,116542221,1/9/04,633051,Mud Lake,4.0201E+12,390,39004,42221,kewee
717,kewee42281,spatjoin,Long Lake,352,Long Lake,42-120,335231.8652,768338.3023,116542281,1/9/04,630961,Long Lake,4.0201E+12,390,39004,42281,kewee
719,kewee42397,spatjoin,Beaver Pond,426,Beaver Pond,42-141,335241.551,762568.4089,116542397,1/9/04,620952,Beaver Pond,4.0201E+12,390,39004,42397,kewee
722,kewee42363,spatjoin,Meadow Lake,398,Meadow Lake,42-128,333564.8624,764890.2218,116542363,1/9/04,632049,Meadow Lake,4.0201E+12,390,39004,42363,kewee
732,kewee42587,spatjoin,Boston Lake,664,Boston Lake,31-1183,308287.7754,738556.7456,116542587,1/9/04,621757,Boston Lake,4.0201E+12,390,39004,42587,kewee
736,kewee42229,spatjoin,Lake Manganese,351,"Manganese, Lake",42-66,357860.6024,768695.9191,116542229,1/9/04,631380,"Manganese, Lake",4.0201E+12,390,39004,42229,kewee
744,kewee42323,spatjoin,Partridge Lake,396,Partridge Lake,42-90,348384.0504,765054.6451,116542323,1/9/04,634441,Partridge Lake,4.0201E+12,390,39004,42323,kewee
752,kewee42645,spatjoin,Obenhoff Lake,811,Obenhoff Lake,31-1117,296380.9265,731334.0828,116542645,1/9/04,633930,Obenhoff Lake,4.0201E+12,390,39004,42645,kewee
753,kewee42683,spatjoin,Portage Lake,596,Portage Lake,31-993,309941.996,729110.3635,116542683,1/9/04,,,4.0201E+12,390,39004,42683,kewee
754,kewee42705,spatjoin,Bush Lake,985,Bush Lake,31-1030,289129.8637,721279.5703,116542705,1/9/04,622353,Bush Lake,4.0201E+12,390,39004,42705,kewee
759,kewee42245,spatjoin,Lake Medora,353,"Medora, Lake",42-86,350396.4014,767349.8471,116542245,1/9/04,632072,"Medora, Lake",4.0201E+12,390,39004,42245,kewee
762,kewee42727,spatjoin,Toivola Lakes,1098,Toivola Lake (South),31-1055,287015.4194,718425.03,116542727,1/9/04,,,4.0201E+12,390,39004,42727,kewee
766,kewee42225,spatjoin,Garden Brook Pond,340,Garden Brook Pond,42-151.1,353186.8972,769611.9254,116542225,1/9/04,,,4.0201E+12,390,39004,42225,kewee
767,kewee42239,spatjoin,Lake Bailey,339,"Bailey, Lake",42-93,341598.1923,769518.1589,116542239,1/9/04,620461,"Bailey, Lake",4.0201E+12,390,39004,42239,kewee
769,kewee42283,spatjoin,Meadow Lake,365,Meadow Lake,42-89,347746.2698,767077.77,116542283,1/9/04,632051,Meadow Lake,4.0201E+12,390,39004,42283,kewee
770,kewee42291,spatjoin,Bailey Pond,370,Bailey Pond,42-88,345449.4864,767000.3208,116542291,1/9/04,620457,Bailey Pond,4.0201E+12,390,39004,42291,kewee
776,kewee42503,spatjoin,Calumet Lake,496,Calumet Lake,31-1243,314747.0052,747673.2615,116542503,1/9/04,622469,Calumet Lake,4.0201E+12,390,39004,42503,kewee
787,kewee42213,spatjoin,Lily Lake,336,Lily Lake,42-147,361072.9893,770153.3911,116542213,1/9/04,630401,Lily Lake,4.0201E+12,390,39004,42213,kewee
788,kewee42345,spatjoin,Copper Falls Lake,394,Copper Falls Lake,42-126,334526.0038,765086.1013,116542345,1/9/04,623807,Copper Falls Lake,4.0201E+12,390,39004,42345,kewee
792,kewee42581,spatjoin,Rice Lake,678,Rice Lake,31-1164,326755.8667,737135.7507,116542581,1/9/04,635845,Rice Lake,4.0201E+12,390,39004,42581,kewee
806,kewee42721,spatjoin,Toivola Lakes,1071,Toivola Lake (West),31-1056,286905.8286,718831.804,116542721,1/9/04,1614926,Toivola Lakes,4.0201E+12,390,39004,42721,kewee
813,kewee42555,spatjoin,Deer Lake,648,Deer Lake,31-1161,328597.5469,739574.3515,116542555,1/9/04,624488,Deer Lake,4.0201E+12,390,39004,42555,kewee
815,kewee42939,spatjoin,,1401,no name,31-1277,283032.3823,713767.7643,116542939,1/9/04,,,4.0201E+12,390,39004,42939,kewee
817,kewee42305,spatjoin,Mud Lake,371,Mud Lake,42-103,339622.9168,766698.0143,116542305,1/9/04,633063,Mud Lake,4.0201E+12,390,39004,42305,kewee
818,kewee42435,spatjoin,Mud Lake,443,Mud Lake,42-46,317169.1688,759692.8764,116542435,1/9/04,633050,Turtle Lake,4.0201E+12,390,39004,42435,kewee
824,kewee42631,spatjoin,Redridge Dam,729,Red Ridge Dam Pond,31-1222,290475.0416,736199.8545,116542631,1/9/04,,,4.0201E+12,390,39004,42631,kewee
831,kewee42211,spatjoin,Mudd Lake,332,Mudd Lake,42-149,353024.5223,771176.9025,116542211,1/9/04,633088,Mudd Lake,4.0201E+12,390,39004,42211,kewee
832,kewee42277,spatjoin,Lost Lake,382,Lost Lake,42-71,362663.486,765770.6791,116542277,1/9/04,631109,Lost Lake,4.0201E+12,390,39004,42277,kewee
834,kewee42475,spatjoin,Thayer Lake,472,Thayer Lake,42-18,328781.5679,750991.7833,116542475,1/9/04,1614702,Thayer Lake,4.0201E+12,390,39004,42475,kewee
835,kewee42531,spatjoin,Bear Lake,530,Bear Lake,31-1256,303441.915,745598.9784,116542531,1/9/04,620868,Bear Lake,4.0201E+12,390,39004,42531,kewee
839,kewee42311,spatjoin,Clear Lake,387,Clear Lake,42-91,346322.0446,765490.4989,116542311,1/9/04,623430,Clear Lake,4.0201E+12,390,39004,42311,kewee
854,kewee42701,spatjoin,Stone Quarry Lake,1031,Stone Quarry Lake,31-982,317795.9835,719637.2585,116542701,1/9/04,638871,Stone Quarry Lake,4.0201E+12,390,39004,42701,kewee
860,kewee42709,spatjoin,Lake Weber,983,"Weber, Lake",31-1026,286810.898,721151.4602,116542709,1/9/04,1615947,"Weber, Lake",4.0201E+12,390,39004,42709,kewee
873,kewee42223,spatjoin,Lake Fanny Hooe,337,"Fanny Hooe, Lake",42-146,359415.7567,769698.5275,116542223,1/9/04,625823,"Fanny Hooe, Lake",4.0201E+12,390,39004,42223,kewee
876,kewee42315,spatjoin,Lake Addie,403,"Addie, Lake",42-74,355562.7427,764236.4371,116542315,1/9/04,619838,"Addie, Lake",4.0201E+12,390,39004,42315,kewee
882,kewee42591,spatjoin,,689,no name,31-1275,310085.5681,738032.2649,116542591,1/9/04,,,4.0201E+12,390,39004,42591,kewee
890,kewee42299,spatjoin,Breakfast Lake,392,Breakfast Lake,42-72,357469.6004,765183.7764,116542299,1/9/04,621911,Breakfast Lake,4.0201E+12,390,39004,42299,kewee
891,kewee42331,spatjoin,Hoar Lake,415,Hoar Lake,42-77,363361.0836,763096.2959,116542331,1/9/04,628359,Hoar Lake,4.0201E+12,390,39004,42331,kewee
896,kewee42309,spatjoin,Meadow Lake,400,Meadow Lake,42-73,355290.9181,764641.8733,116542309,1/9/04,632050,Meadow Lake,4.0201E+12,390,39004,42309,kewee
900,kewee18914,spatjoin,,988,no name,31-1266,308430.8763,720976.0083,120018914,3/16/04,,,4.0201E+12,390,39004,18914,kewee
936,kewee42983,spatjoin,Donken Lake,1466,Donken Lake,31-837,286778.2997,712657.4395,116542983,1/9/04,624786,Donken Lake,4.0201E+12,390,39004,42983,kewee
939,kewee42639,spatjoin,Huron Lake,814,Huron Lake,31-1111,303649.8684,731288.1396,116542639,1/9/04,628866,Huron Lake,4.0201E+12,390,39004,42639,kewee
941,kewee42745,spatjoin,Morrison Lakes,1144,Morrison Lake,31-1058,287953.0082,717601.5512,116542745,1/9/04,632726,Morrison Lake,4.0201E+12,390,39004,42745,kewee
959,kewee42719,spatjoin,Toivola Lakes,1055,Toivola Lake (Northeas,31-1052,287413.0084,719085.5539,116542719,1/9/04,,,4.0201E+12,390,39004,42719,kewee
975,kewee42415,spatjoin,Lake Gratiot,444,"Gratiot, Lake",42-36,339217.9667,758111.0894,116542415,1/9/04,627235,"Gratiot, Lake",4.0201E+12,390,39004,42415,kewee
979,kewee42233,spatjoin,Lake Upson,338,"Upson, Lake",42-151,345617.4006,769780.7331,116542233,1/9/04,1615421,"Upson, Lake",4.0201E+12,390,39004,42233,kewee
982,kewee42265,spatjoin,Gull Lake,354,Gull Lake,42-87,346645.9431,768024.5594,116542265,1/9/04,627517,Gull Lake,4.0201E+12,390,39004,42265,kewee
985,strgn25591,spatjoin,Twelvemile Lake,999,Twelvemile Lake,31-1035,292767.8663,720333.983,117625591,1/12/04,1615221,Twelvemile Lake,4.0201E+12,390,39004,25591,strgn
986,strgn25599,spatjoin,Thirteenmile Lake,1039,Thirteenmile Lake,31-1044,290945.1721,719368.4519,117625599,1/12/04,1614743,Thirteenmile Lake,4.0201E+12,390,39004,25599,strgn
988,strgn25635,spatjoin,,1524,no name,31-843,287653.8359,711544.6686,117625635,1/12/04,,,4.0201E+12,390,39004,25635,strgn
989,strgn25607,spatjoin,Pine Lake,1116,Pine Lake,31-1040,293116.2409,718062.1194,117625607,1/12/04,634969,Pine Lake,4.0201E+12,390,39004,25607,strgn
1000,menom76059,spatjoin,Grand Rapids Impoundment,70672,Grand Rapids,55-8,370234.6203,536443.3545,75476059,3/14/03,,,4.03011E+12,390,39004,76059,menom
1170,No WB,Checked,Elevenmile Lake,973,Elevenmile Lake,31-1019,294001.4249,721703.0732,,,,,,,,,
1189,No WB,Checked,Koski Lake,998,Koski Lake,31-1033,290798.6018,720423.3613,,,,,,,,,
1212,No WB,Checked,Hall Lake,1028,Hall Lake,31-1046,290078.5421,719584.4583,,,,,,,,,
1241,,,Toivola Lakes,1076,Toivola Lake (Central),31-1054,287185.04,718858.4443,,,,,,,,,
1245,,,,1084,Toivola Lake (Southeas,31-1053,287421.3825,718766.3823,,,,,,,,,
1425,No WB,Checked,Mud Lake,1475,Mud Lake,31-826,302527.9783,712488.342,,,,,,,,,
1522,kewee43343,spatjoin,Lake Roland,1695,"Roland, Lake",31-915,282610.1702,707985.3998,116543343,1/9/04,636130,"Roland, Lake",4.0201E+12,390,39004,43343,kewee
1550,kewee43431,spatjoin,Bob Hall Lake,1864,Bob Hall Lake,31-950,280476.3906,705951.4224,116543431,1/9/04,1622362,Bob Hall Lake,4.0201E+12,390,39004,43431,kewee
1561,kewee43387,spatjoin,,1835,no name,31-942,281294.2176,706514.1035,116543387,1/9/04,,,4.0201E+12,390,39004,43387,kewee
1609,dkels31591,spatjoin,Trout Lake,2117,Trout Lake,52-1785,355403.4018,702526.2147,105231591,9/23/03,1615118,Trout Lake,4.02011E+12,390,39004,31591,dkels
1610,dkels31605,spatjoin,Lily Pond,2233,Lily Pond,52-1727,360273.2352,701164.0064,105231605,9/23/03,630406,Lily Pond,4.02011E+12,390,39004,31605,dkels
1612,strgn25661,spatjoin,Otter Lake,1537,Otter Lake,31-825,303836.974,709938.7531,117625661,1/12/04,634195,Otter Lake,4.0201E+12,390,39004,25661,strgn
1645,dkels31485,spatjoin,Rush Lake,1854,Rush Lake,52-1778,354130.4089,705729.906,105231485,9/23/03,636393,Rush Lake,4.02011E+12,390,39004,31485,dkels
1660,blkpi46856,spatjoin,Lake of the Clouds,2185,"Clouds, Lake of the",66-575,213914.278,701585.3348,123146856,7/29/04,623493,"Clouds, Lake of the",4.0201E+12,390,39004,46856,blkpi
1673,kewee43277,spatjoin,Lake Gerald,1654,"Gerald, Lake",31-909,284411.5524,709079.339,116543277,1/9/04,626747,"Gerald, Lake",4.0201E+12,390,39004,43277,kewee
1675,kewee43453,spatjoin,Cemetery Lake,1902,Winona Lake,31-970,278774.4356,705370.3395,116543453,1/9/04,1622360,Cemetery Lake,4.0201E+12,390,39004,43453,kewee
1688,kewee43223,spatjoin,Mud Lake,1623,Mud Lake,31-910,285288.2262,710033.5027,116543223,1/9/04,633048,Mud Lake,4.0201E+12,390,39004,43223,kewee
1705,strgn25899,spatjoin,,2133,no name,31-1276,290621.184,702310.4462,117625899,1/12/04,,,4.0201E+12,390,39004,25899,strgn
1736,strgn25929,spatjoin,Kratt Lakes,2089,Kratt Lake (south),31-763,281589.4347,703022.8832,117625929,1/12/04,,,4.0201E+12,390,39004,25929,strgn
1761,strgn26033,spatjoin,Lake Fourteen,2276,,31-1280,283716.6325,700654.6504,117626033,1/12/04,1622751,"Fourteen, Lake",4.0201E+12,390,39004,26033,strgn
1787,dkels31601,spatjoin,Florence Pond,2202,Florence Pond,52-1729,357247.3973,701564.6384,105231601,9/23/03,626190,Florence Pond,4.02011E+12,390,39004,31601,dkels
1796,strgn25903,spatjoin,Kratt Lakes,2058,Kratt Lake (north),31-766,281663.3796,703376.9771,117625903,1/12/04,,,4.0201E+12,390,39004,25903,strgn
1799,dkels31571,spatjoin,,1936,no name,52-1802,344592.8003,704855.1548,105231571,9/23/03,,,4.02011E+12,390,39004,31571,dkels
1810,dkels31661,spatjoin,,2183,Cliff Lake,52-1739,349415.2171,701512.3585,105231661,9/23/03,,,4.02011E+12,390,39004,31661,dkels
1828,dkels31495,spatjoin,Conway Lake,1929,Conway Lake,52-1782,361052.1134,704195.4719,105231495,9/23/03,623726,Conway Lake,4.02011E+12,390,39004,31495,dkels
1834,strgn25845,spatjoin,,2159,no name,7-948,302119.0826,702008.3515,117625845,1/12/04,,,4.0201E+12,390,39004,25845,strgn
1837,dkels31607,spatjoin,Ives Lake,2181,Ives Lake,52-1728,358836.5723,701121.5933,105231607,9/23/03,629148,Ives Lake,4.02011E+12,390,39004,31607,dkels
1841,onton89929,spatjoin,,2216,no name,66-612,247373.1314,701233.1326,123389929,8/13/04,,,4.0201E+12,390,39004,89929,onton
1847,strgn25953,spatjoin,Horseshoe Lake,2115,no name,31-772,280563.3711,702698.3568,117625953,1/12/04,1622572,Horseshoe Lake,4.0201E+12,390,39004,25953,strgn
1873,strgn25985,spatjoin,Bohmier Lake,2157,Bohmier Lake,31-781,280287.0965,702115.4292,117625985,1/12/04,1619275,Bohmier Lake,4.0201E+12,390,39004,25985,strgn
1884,strgn25969,spatjoin,Clear Lake,2128,Clear Lake,31-771,280847.3277,702373.1308,117625969,1/12/04,623429,Clear Lake,4.0201E+12,390,39004,25969,strgn
1905,strgn25797,spatjoin,Emily Lake,1928,Emily Lake,31-973,282345.5734,704803.1006,117625797,1/12/04,1619855,Emily Lake,4.0201E+12,390,39004,25797,strgn
1922,dkels31517,spatjoin,,1777,no name,7-1100,332222.8992,707211.8017,105231517,9/23/03,,,4.02011E+12,390,39004,31517,dkels
1940,strgn26013,spatjoin,Pike Lake,2135,Pike Lake,31-760,282966.8107,701958.3669,117626013,1/12/04,634872,Pike Lake,4.0201E+12,390,39004,26013,strgn
1950,strgn25857,spatjoin,Sandy Lake,1995,Sandy Lake,31-767,281030.1261,703894.3687,117625857,1/12/04,1621516,Sandy Lake,4.0201E+12,390,39004,25857,strgn
1956,dkels31561,spatjoin,Lake Ann,1985,"Ann, Lake",52-1801,352995.8695,704090.608,105231561,9/23/03,620139,"Ann, Lake",4.02011E+12,390,39004,31561,dkels
1968,dkels31479,spatjoin,Howe Lake,1838,Howe Lake,52-1793,351320.122,706205.9918,105231479,9/23/03,628712,Howe Lake,4.02011E+12,390,39004,31479,dkels
