OBJECTID,TRANSCODE,TC_METHOD,NAME,UNIQUE_ID,LAKE_NAME,NEW_KEY,X_COORD,Y_COORD,COMID,FDATE,GNIS_ID,GNIS_NAME,REACHCODE,FTYPE,FCODE,CI_TR,PU_CODE
41597,sagnw4451,spatjoin,Goodrich Millpond,45913,Goodrich Millpond,25-94,703428.8478,265478.0394,147104451,4/9/06,626953,Goodrich Millpond,4.0802E+12,390,39004,4451,sagnw
41600,sagnw4318,spatjoin,Misch Lake,44941,Misch Lake,44-199,722991.4322,273100.5123,147104318,4/9/06,632487,Misch Lake,4.0802E+12,390,39004,4318,sagnw
41603,sagnw4407,spatjoin,Seven Ponds Lake,45534,Seven Ponds Lake,44-125,728768.7402,267889.2596,147104407,4/9/06,637592,Seven Ponds Lake,4.0802E+12,390,39004,4407,sagnw
41604,sagnw4437,spatjoin,Kelsey Lake,45931,Kelsey Lake,44-110,719365.3949,265790.4694,147104437,4/9/06,629561,Kelsey Lake,4.0802E+12,390,39004,4437,sagnw
41605,sagnw4446,spatjoin,No Name,46012,No Name,44-362,713956.0426,265277.7701,147104446,4/9/06,,,4.0802E+12,390,39004,4446,sagnw
41606,sagnw4357,spatjoin,Lake Metamora,45154,Lake Metamora,44-344,717329.7758,271129.6815,147104357,4/9/06,632167,Lake Metamora,4.0802E+12,390,39004,4357,sagnw
41616,sagnw4418,spatjoin,,45759,no name,25-197,673918.9564,266936.5107,147104418,4/9/06,,,4.0802E+12,390,39004,4418,sagnw
41625,sagnw4392,spatjoin,,45572,no name,25-193,697729.3391,268219.5781,147104392,4/9/06,,,4.0802E+12,390,39004,4392,sagnw
41630,sagnw4342,spatjoin,Trout Lake,45142,Trout Lake,44-86,723563.3018,271482.3301,147104342,4/9/06,1615111,Trout Lake,4.0802E+12,390,39004,4342,sagnw
41639,sagnw4436,spatjoin,,45935,Koester Lake (east),44-48,711745.4242,265729.9941,147104436,4/9/06,,,4.0802E+12,390,39004,4436,sagnw
41653,sagnw4478,spatjoin,Whigville Lake,46073,Whigville Lake,44-133,729488.8311,264599.8982,147104478,4/9/06,1616281,Whigville Lake,4.0802E+12,390,39004,4478,sagnw
41654,sagnw4311,spatjoin,West Webster Lake,44920,West Webster Lake,44-175,714862.7447,273541.2879,147104311,4/9/06,,,4.0802E+12,390,39004,4311,sagnw
41655,sagnw4360,spatjoin,Beaver Lake,45247,Beaver Lake,44-350,723698.0866,270636.116,147104360,4/9/06,620942,Beaver Lake,4.0802E+12,390,39004,4360,sagnw
41656,sagnw4307,spatjoin,Mirror Lake,44859,Mirror Lake,44-196,718258.8834,273881.9933,147104307,4/9/06,632480,Mirror Lake,4.0802E+12,390,39004,4307,sagnw
41664,sagnw4405,spatjoin,,45652,no name,44-360,715235.2918,267607.5057,147104405,4/9/06,,,4.0802E+12,390,39004,4405,sagnw
41667,sagnw4419,spatjoin,,45761,no name,25-198,674146.6821,266977.1384,147104419,4/9/06,,,4.0802E+12,390,39004,4419,sagnw
41670,sagnw4308,spatjoin,Hall Lake,44906,Hall Lake,44-198,718513.5116,273574.6754,147104308,4/9/06,627647,Hall Lake,4.0802E+12,390,39004,4308,sagnw
41672,sagnw4406,spatjoin,Brigham Lake,45662,Brigham Lake,44-44,708582.8333,267551.8085,147104406,4/9/06,1623725,Brigham Lake,4.0802E+12,390,39004,4406,sagnw
41679,sagnw4443,spatjoin,,45988,no name,44-355,710902.6412,265432.5241,147104443,4/9/06,,,4.0802E+12,390,39004,4443,sagnw
41680,sagnw4374,spatjoin,Otsikita Lake,45382,Otsikita Lake,44-348,718167.9477,269607.9387,147104374,4/9/06,634164,Otsikita Lake,4.0802E+12,390,39004,4374,sagnw
41685,sagnw4448,spatjoin,Smith Lake,45996,Smith Lake,25-71,694149.2629,265256.9477,147104448,4/9/06,638160,Smith Lake,4.0802E+12,390,39004,4448,sagnw
41686,sagnw4362,spatjoin,Seeley Lake,45261,Seeley Lake,25-78,703850.6162,270558.8388,147104362,4/9/06,637551,Seeley Lake,4.0802E+12,390,39004,4362,sagnw
41688,sagnw4398,spatjoin,Mitten Lake,45612,Mitten Lake,44-43,708432.7519,267990.0099,147104398,4/9/06,632528,Mitten Lake,4.0802E+12,390,39004,4398,sagnw
41690,sagnw4338,spatjoin,Lockwood Lake,45128,Lockwood Lake,44-86.1,724162.944,271432.94,147104338,4/9/06,630864,Lockwood Lake,4.0802E+12,390,39004,4338,sagnw
41703,sagnw4399,spatjoin,Atlas Millpond,45564,Atlas Millpond,25-83,701436.623,268106.465,147104399,4/9/06,620308,Atlas Millpond,4.0802E+12,390,39004,4399,sagnw
41704,sagnw4433,spatjoin,Baily Lake,45922,Baily Lake,44-54,714265.7448,265822.8952,147104433,4/9/06,620452,Baily Lake,4.0802E+12,390,39004,4433,sagnw
41707,sagnw4354,spatjoin,,45231,no name,44-359,708193.7797,270760.1487,147104354,4/9/06,,,4.0802E+12,390,39004,4354,sagnw
41708,sagnw4455,spatjoin,Tody Lake,46090,Tody Lake,44-70,709001.8933,264818.3163,147104455,4/9/06,1614921,Tody Lake,4.0802E+12,390,39004,4455,sagnw
41710,sagnw4367,spatjoin,Merritt Lake,45254,Merritt Lake,44-347,718020.7006,270258.3096,147104367,4/9/06,632139,Merritt Lake,4.0802E+12,390,39004,4367,sagnw
41715,sagnw4335,spatjoin,Hasley Lake,45044,Hasley Lake,25-118,707086.0251,272127.5604,147104335,4/9/06,627922,Hasley Lake,4.0802E+12,390,39004,4335,sagnw
41717,sagnw4452,spatjoin,Wolf Lake,46053,Wolf Lake,44-109,720791.8518,265059.2591,147104452,4/9/06,1616695,Wolf Lake,4.0802E+12,390,39004,4452,sagnw
41718,sagnw4339,spatjoin,Lake Lapeer,44996,Lake Lapeer,44-343,714161.3051,272220.6186,147104339,4/9/06,630153,Lake Lapeer,4.0802E+12,390,39004,4339,sagnw
41721,sagnw4361,spatjoin,Hemingway Lake,45262,Hemingway Lake,44-318,710462.9159,270524.447,147104361,4/9/06,628078,Hemingway Lake,4.0802E+12,390,39004,4361,sagnw
41725,sagnw4456,spatjoin,Kuhn Lake,46096,Kuhn Lake,25-95,706033.5568,264925.0768,147104456,4/9/06,,,4.0802E+12,390,39004,4456,sagnw
41728,sagnw4370,spatjoin,Cummings Lake,45331,Cummings Lake,25-79,702846.0022,270029.4612,147104370,4/9/06,624208,Cummings Lake,4.0802E+12,390,39004,4370,sagnw
41729,sagnw4401,spatjoin,Riley Lake,45624,Riley Lake,44-36,712043.7897,267869.183,147104401,4/9/06,635939,Riley Lake,4.0802E+12,390,39004,4401,sagnw
41734,sagnw4316,spatjoin,Hanover Lake,44955,Hanover Lake,25-116,703814.1329,273222.7393,147104316,4/9/06,627739,Hanover Lake,4.0802E+12,390,39004,4316,sagnw
41735,sagnw4376,spatjoin,Lake Minnawanna,45397,Lake Minnawanna,44-25,716244.0784,269142.9168,147104376,4/9/06,632458,Lake Minnawanna,4.0802E+12,390,39004,4376,sagnw
