Area Name,Qualifying Area Name,Land Area,Summary Level,FIPS,State FIPS,County FIPS,Total Population,Year
Geo_name,Geo_QName,Geo_AREAL,Geo_SUMLEV,Geo_FIPS,Geo_STATE,Geo_COUNTY,SE_T001_001,1900
Alcona County,"Alcona County, Michigan",694.4297,50,2600010,260,10,5691,1900
Alger County,"Alger County, Michigan",937.4239,50,2600030,260,30,5868,1900
Allegan County,"Allegan County, Michigan",842.8192,50,2600050,260,50,38812,1900
Alpena County,"Alpena County, Michigan",594.6877,50,2600070,260,70,18254,1900
Antrim County,"Antrim County, Michigan",525.1273,50,2600090,260,90,16568,1900
Arenac County,"Arenac County, Michigan",368.0848,50,2600110,260,110,9821,1900
Baraga County,"Baraga County, Michigan",917.4614,50,2600130,260,130,4320,1900
Barry County,"Barry County, Michigan",576.8968,50,2600150,260,150,22514,1900
Bay County,"Bay County, Michigan",447.7316,50,2600170,260,170,62378,1900
Benzie County,"Benzie County, Michigan",347.6097,50,2600190,260,190,9685,1900
Berrien County,"Berrien County, Michigan",580.2342,50,2600210,260,210,49165,1900
Branch County,"Branch County, Michigan",519.4867,50,2600230,260,230,27811,1900
Calhoun County,"Calhoun County, Michigan",718.4351,50,2600250,260,250,49315,1900
Cass County,"Cass County, Michigan",508.4609,50,2600270,260,270,20876,1900
Charlevoix County,"Charlevoix County, Michigan",453.6193,50,2600290,260,290,13956,1900
Cheboygan County,"Cheboygan County, Michigan",795.7876,50,2600310,260,310,15516,1900
Chippewa County,"Chippewa County, Michigan",1580.488,50,2600330,260,330,21338,1900
Clare County,"Clare County, Michigan",575.2104,50,2600350,260,350,8360,1900
Clinton County,"Clinton County, Michigan",574.5684,50,2600370,260,370,25136,1900
Crawford County,"Crawford County, Michigan",563.3662,50,2600390,260,390,2943,1900
Delta County,"Delta County, Michigan",1179.583,50,2600410,260,410,23881,1900
Dickinson County,"Dickinson County, Michigan",777.0963,50,2600430,260,430,17890,1900
Eaton County,"Eaton County, Michigan",579.0171,50,2600450,260,450,31668,1900
Emmet County,"Emmet County, Michigan",483.2888,50,2600470,260,470,15931,1900
Genesee County,"Genesee County, Michigan",649.3376,50,2600490,260,490,41804,1900
Gladwin County,"Gladwin County, Michigan",516.4251,50,2600510,260,510,6564,1900
Gogebic County,"Gogebic County, Michigan",1144.035,50,2600530,260,530,16738,1900
Grand Traverse County,"Grand Traverse County, Michigan",490.1922,50,2600550,260,550,20479,1900
Gratiot County,"Gratiot County, Michigan",571.6023,50,2600570,260,570,29889,1900
Hillsdale County,"Hillsdale County, Michigan",607.1364,50,2600590,260,590,29865,1900
Houghton County,"Houghton County, Michigan",1041.62,50,2600610,260,610,66063,1900
Huron County,"Huron County, Michigan",838.8172,50,2600630,260,630,34162,1900
Ingham County,"Ingham County, Michigan",560.9346,50,2600650,260,650,39818,1900
Ionia County,"Ionia County, Michigan",580.2259,50,2600670,260,670,34329,1900
Iosco County,"Iosco County, Michigan",566.4088,50,2600690,260,690,10246,1900
Iron County,"Iron County, Michigan",1210.99,50,2600710,260,710,8990,1900
Isabella County,"Isabella County, Michigan",577.7434,50,2600730,260,730,22784,1900
Jackson County,"Jackson County, Michigan",723.7592,50,2600750,260,750,48222,1900
Kalamazoo County,"Kalamazoo County, Michigan",580.1758,50,2600770,260,770,44310,1900
Kalkaska County,"Kalkaska County, Michigan",570.7525,50,2600790,260,790,7133,1900
Kent County,"Kent County, Michigan",872.1724,50,2600810,260,810,129714,1900
Keweenaw County,"Keweenaw County, Michigan",562.9056,50,2600830,260,830,3217,1900
Lake County,"Lake County, Michigan",574.5975,50,2600850,260,850,4957,1900
Lapeer County,"Lapeer County, Michigan",663.077,50,2600870,260,870,27641,1900
Leelanau County,"Leelanau County, Michigan",375.9235,50,2600890,260,890,10556,1900
Lenawee County,"Lenawee County, Michigan",761.3084,50,2600910,260,910,48406,1900
Livingston County,"Livingston County, Michigan",585.4269,50,2600930,260,930,19664,1900
Luce County,"Luce County, Michigan",927.283,50,2600950,260,950,2983,1900
Mackinac County,"Mackinac County, Michigan",1062.886,50,2600970,260,970,7703,1900
Macomb County,"Macomb County, Michigan",482.8591,50,2600990,260,990,33244,1900
Manistee County,"Manistee County, Michigan",557.0196,50,2601010,260,1010,27856,1900
Marquette County,"Marquette County, Michigan",1870.44,50,2601030,260,1030,41239,1900
Mason County,"Mason County, Michigan",510.0613,50,2601050,260,1050,18885,1900
Mecosta County,"Mecosta County, Michigan",571.0979,50,2601070,260,1070,20693,1900
Menominee County,"Menominee County, Michigan",1051.705,50,2601090,260,1090,27046,1900
Midland County,"Midland County, Michigan",527.8838,50,2601110,260,1110,14439,1900
Missaukee County,"Missaukee County, Michigan",573.8146,50,2601130,260,1130,9308,1900
Monroe County,"Monroe County, Michigan",557.5548,50,2601150,260,1150,32754,1900
Montcalm County,"Montcalm County, Michigan",720.9766,50,2601170,260,1170,32754,1900
Montmorency County,"Montmorency County, Michigan",562.4328,50,2601190,260,1190,3234,1900
Muskegon County,"Muskegon County, Michigan",527.1947,50,2601210,260,1210,37036,1900
Newaygo County,"Newaygo County, Michigan",861.3841,50,2601230,260,1230,17673,1900
Oakland County,"Oakland County, Michigan",907.9938,50,2601250,260,1250,44792,1900
Oceana County,"Oceana County, Michigan",546.5677,50,2601270,260,1270,16644,1900
Ogemaw County,"Ogemaw County, Michigan",574.6239,50,2601290,260,1290,7765,1900
Ontonagon County,"Ontonagon County, Michigan",1328.738,50,2601310,260,1310,6197,1900
Osceola County,"Osceola County, Michigan",573.0979,50,2601330,260,1330,17859,1900
Oscoda County,"Oscoda County, Michigan",571.5647,50,2601350,260,1350,1468,1900
Otsego County,"Otsego County, Michigan",525.9751,50,2601370,260,1370,6175,1900
Ottawa County,"Ottawa County, Michigan",577.3601,50,2601390,260,1390,39667,1900
Presque Isle County,"Presque Isle County, Michigan",684.9969,50,2601410,260,1410,8821,1900
Roscommon County,"Roscommon County, Michigan",579.8375,50,2601430,260,1430,1787,1900
Saginaw County,"Saginaw County, Michigan",815.7729,50,2601450,260,1450,81222,1900
St Clair County,"St Clair County, Michigan",726.1126,50,2601470,260,1470,55228,1900
St Joseph County,"St Joseph County, Michigan",521.151,50,2601490,260,1490,23889,1900
Sanilac County,"Sanilac County, Michigan",964.0111,50,2601510,260,1510,35055,1900
Schoolcraft County,"Schoolcraft County, Michigan",1221.544,50,2601530,260,1530,7889,1900
Shiawassee County,"Shiawassee County, Michigan",540.7278,50,2601550,260,1550,33866,1900
Tuscola County,"Tuscola County, Michigan",814.2921,50,2601570,260,1570,35890,1900
Van Buren County,"Van Buren County, Michigan",623.1437,50,2601590,260,1590,33274,1900
Washtenaw County,"Washtenaw County, Michigan",722.5212,50,2601610,260,1610,47761,1900
Wayne County,"Wayne County, Michigan",617.6395,50,2601630,260,1630,348793,1900
Wexford County,"Wexford County, Michigan",575.8341,50,2601650,260,1650,16845,1900
