Area Name,Qualifying Area Name,Land Area,Summary Level,FIPS,State FIPS,County FIPS,Total Population,Year
Montmorency County,"Montmorency County, Michigan",562.4328,50,2601190,260,1190,4089,1920
Muskegon County,"Muskegon County, Michigan",527.1947,50,2601210,260,1210,62362,1920
Newaygo County,"Newaygo County, Michigan",861.3841,50,2601230,260,1230,17378,1920
Oakland County,"Oakland County, Michigan",907.9938,50,2601250,260,1250,90050,1920
Oceana County,"Oceana County, Michigan",546.5677,50,2601270,260,1270,15601,1920
Ogemaw County,"Ogemaw County, Michigan",574.6239,50,2601290,260,1290,7786,1920
Ontonagon County,"Ontonagon County, Michigan",1328.738,50,2601310,260,1310,12428,1920
Osceola County,"Osceola County, Michigan",573.0979,50,2601330,260,1330,15221,1920
Oscoda County,"Oscoda County, Michigan",571.5647,50,2601350,260,1350,1783,1920
Otsego County,"Otsego County, Michigan",525.9751,50,2601370,260,1370,6043,1920
Ottawa County,"Ottawa County, Michigan",577.3601,50,2601390,260,1390,47660,1920
Presque Isle County,"Presque Isle County, Michigan",684.9969,50,2601410,260,1410,12131,1920
Roscommon County,"Roscommon County, Michigan",579.8375,50,2601430,260,1430,2032,1920
Saginaw County,"Saginaw County, Michigan",815.7729,50,2601450,260,1450,100286,1920
St Clair County,"St Clair County, Michigan",726.1126,50,2601470,260,1470,58009,1920
St Joseph County,"St Joseph County, Michigan",521.151,50,2601490,260,1490,26818,1920
Sanilac County,"Sanilac County, Michigan",964.0111,50,2601510,260,1510,31237,1920
Schoolcraft County,"Schoolcraft County, Michigan",1221.544,50,2601530,260,1530,9977,1920
Shiawassee County,"Shiawassee County, Michigan",540.7278,50,2601550,260,1550,35924,1920
Tuscola County,"Tuscola County, Michigan",814.2921,50,2601570,260,1570,33320,1920
Van Buren County,"Van Buren County, Michigan",623.1437,50,2601590,260,1590,30715,1920
Washtenaw County,"Washtenaw County, Michigan",722.5212,50,2601610,260,1610,49520,1920
Wayne County,"Wayne County, Michigan",617.6395,50,2601630,260,1630,1177645,1920
Wexford County,"Wexford County, Michigan",575.8341,50,2601650,260,1650,18207,1920
