Area Name,Qualifying Area Name,Land Area,Summary Level,FIPS,State FIPS,County FIPS,Total Population,Year
Geo_name,Geo_QName,Geo_AREAL,Geo_SUMLEV,Geo_FIPS,Geo_STATE,Geo_COUNTY,SE_T001_001,1920
Alcona County,"Alcona County, Michigan",694.4297,50,2600010,260,10,5912,1920
Alger County,"Alger County, Michigan",937.4239,50,2600030,260,30,9983,1920
Allegan County,"Allegan County, Michigan",842.8192,50,2600050,260,50,37540,1920
Alpena County,"Alpena County, Michigan",594.6877,50,2600070,260,70,17869,1920
Antrim County,"Antrim County, Michigan",525.1273,50,2600090,260,90,11543,1920
Arenac County,"Arenac County, Michigan",368.0848,50,2600110,260,110,9460,1920
Baraga County,"Baraga County, Michigan",917.4614,50,2600130,260,130,7662,1920
Barry County,"Barry County, Michigan",576.8968,50,2600150,260,150,21383,1920
Bay County,"Bay County, Michigan",447.7316,50,2600170,260,170,69548,1920
Benzie County,"Benzie County, Michigan",347.6097,50,2600190,260,190,6947,1920
Berrien County,"Berrien County, Michigan",580.2342,50,2600210,260,210,62653,1920
Branch County,"Branch County, Michigan",519.4867,50,2600230,260,230,23997,1920
Calhoun County,"Calhoun County, Michigan",718.4351,50,2600250,260,250,72918,1920
Cass County,"Cass County, Michigan",508.4609,50,2600270,260,270,20395,1920
Charlevoix County,"Charlevoix County, Michigan",453.6193,50,2600290,260,290,15788,1920
Cheboygan County,"Cheboygan County, Michigan",795.7876,50,2600310,260,310,13991,1920
Chippewa County,"Chippewa County, Michigan",1580.488,50,2600330,260,330,24818,1920
Clare County,"Clare County, Michigan",575.2104,50,2600350,260,350,8250,1920
Clinton County,"Clinton County, Michigan",574.5684,50,2600370,260,370,23110,1920
Crawford County,"Crawford County, Michigan",563.3662,50,2600390,260,390,4049,1920
Delta County,"Delta County, Michigan",1179.583,50,2600410,260,410,30909,1920
Dickinson County,"Dickinson County, Michigan",777.0963,50,2600430,260,430,19456,1920
Eaton County,"Eaton County, Michigan",579.0171,50,2600450,260,450,29377,1920
Emmet County,"Emmet County, Michigan",483.2888,50,2600470,260,470,15639,1920
Genesee County,"Genesee County, Michigan",649.3376,50,2600490,260,490,125668,1920
Gladwin County,"Gladwin County, Michigan",516.4251,50,2600510,260,510,8827,1920
Gogebic County,"Gogebic County, Michigan",1144.035,50,2600530,260,530,33225,1920
Grand Traverse County,"Grand Traverse County, Michigan",490.1922,50,2600550,260,550,19518,1920
Gratiot County,"Gratiot County, Michigan",571.6023,50,2600570,260,570,33914,1920
Hillsdale County,"Hillsdale County, Michigan",607.1364,50,2600590,260,590,28161,1920
Houghton County,"Houghton County, Michigan",1041.62,50,2600610,260,610,71930,1920
Huron County,"Huron County, Michigan",838.8172,50,2600630,260,630,32786,1920
Ingham County,"Ingham County, Michigan",560.9346,50,2600650,260,650,81554,1920
Ionia County,"Ionia County, Michigan",580.2259,50,2600670,260,670,33087,1920
Iosco County,"Iosco County, Michigan",566.4088,50,2600690,260,690,8199,1920
Iron County,"Iron County, Michigan",1210.99,50,2600710,260,710,22107,1920
Isabella County,"Isabella County, Michigan",577.7434,50,2600730,260,730,22610,1920
Jackson County,"Jackson County, Michigan",723.7592,50,2600750,260,750,72539,1920
Kalamazoo County,"Kalamazoo County, Michigan",580.1758,50,2600770,260,770,71225,1920
Kalkaska County,"Kalkaska County, Michigan",570.7525,50,2600790,260,790,5577,1920
Kent County,"Kent County, Michigan",872.1724,50,2600810,260,810,183041,1920
Keweenaw County,"Keweenaw County, Michigan",562.9056,50,2600830,260,830,6322,1920
Lake County,"Lake County, Michigan",574.5975,50,2600850,260,850,4437,1920
Lapeer County,"Lapeer County, Michigan",663.077,50,2600870,260,870,25782,1920
Leelanau County,"Leelanau County, Michigan",375.9235,50,2600890,260,890,9061,1920
Lenawee County,"Lenawee County, Michigan",761.3084,50,2600910,260,910,47767,1920
Livingston County,"Livingston County, Michigan",585.4269,50,2600930,260,930,17522,1920
Luce County,"Luce County, Michigan",927.283,50,2600950,260,950,6149,1920
Mackinac County,"Mackinac County, Michigan",1062.886,50,2600970,260,970,8026,1920
Macomb County,"Macomb County, Michigan",482.8591,50,2600990,260,990,38103,1920
Manistee County,"Manistee County, Michigan",557.0196,50,2601010,260,1010,20899,1920
Marquette County,"Marquette County, Michigan",1870.44,50,2601030,260,1030,45786,1920
Mason County,"Mason County, Michigan",510.0613,50,2601050,260,1050,19831,1920
Mecosta County,"Mecosta County, Michigan",571.0979,50,2601070,260,1070,17765,1920
Menominee County,"Menominee County, Michigan",1051.705,50,2601090,260,1090,23778,1920
Midland County,"Midland County, Michigan",527.8838,50,2601110,260,1110,17237,1920
Missaukee County,"Missaukee County, Michigan",573.8146,50,2601130,260,1130,9004,1920
Monroe County,"Monroe County, Michigan",557.5548,50,2601150,260,1150,37115,1920
Montcalm County,"Montcalm County, Michigan",720.9766,50,2601170,260,1170,30441,1920
