Area Name,Full Name,Summary Level,Federal Information Processing System Code,State Code,County Code,Total Population,Year
Geo_Name,Geo_QName,Geo_SUMLEV,Geo_FIPS,Geo_state,Geo_county,SE_T001_001,1950
Alcona,"Alcona County, Michigan",50,26001,26,1,5856,1950
Alger,"Alger County, Michigan",50,26003,26,3,10007,1950
Allegan,"Allegan County, Michigan",50,26005,26,5,47493,1950
Alpena,"Alpena County, Michigan",50,26007,26,7,22189,1950
Antrim,"Antrim County, Michigan",50,26009,26,9,10721,1950
Arenac,"Arenac County, Michigan",50,26011,26,11,9644,1950
Baraga,"Baraga County, Michigan",50,26013,26,13,8037,1950
Barry,"Barry County, Michigan",50,26015,26,15,26183,1950
Bay,"Bay County, Michigan",50,26017,26,17,88461,1950
Benzie,"Benzie County, Michigan",50,26019,26,19,8306,1950
Berrien,"Berrien County, Michigan",50,26021,26,21,115702,1950
Branch,"Branch County, Michigan",50,26023,26,23,30202,1950
Calhoun,"Calhoun County, Michigan",50,26025,26,25,120813,1950
Cass,"Cass County, Michigan",50,26027,26,27,28185,1950
Charlevoix,"Charlevoix County, Michigan",50,26029,26,29,13475,1950
Cheboygan,"Cheboygan County, Michigan",50,26031,26,31,13731,1950
Chippewa,"Chippewa County, Michigan",50,26033,26,33,29206,1950
Clare,"Clare County, Michigan",50,26035,26,35,10253,1950
Clinton,"Clinton County, Michigan",50,26037,26,37,31195,1950
Crawford,"Crawford County, Michigan",50,26039,26,39,4151,1950
Delta,"Delta County, Michigan",50,26041,26,41,32913,1950
Dickinson,"Dickinson County, Michigan",50,26043,26,43,24844,1950
Eaton,"Eaton County, Michigan",50,26045,26,45,40023,1950
Emmet,"Emmet County, Michigan",50,26047,26,47,16534,1950
Genesee,"Genesee County, Michigan",50,26049,26,49,270963,1950
Gladwin,"Gladwin County, Michigan",50,26051,26,51,9451,1950
Gogebic,"Gogebic County, Michigan",50,26053,26,53,27053,1950
Grand Traverse,"Grand Traverse County, Michigan",50,26055,26,55,28598,1950
Gratiot,"Gratiot County, Michigan",50,26057,26,57,33429,1950
Hillsdale,"Hillsdale County, Michigan",50,26059,26,59,31916,1950
Houghton,"Houghton County, Michigan",50,26061,26,61,39771,1950
Huron,"Huron County, Michigan",50,26063,26,63,33149,1950
Ingham,"Ingham County, Michigan",50,26065,26,65,172941,1950
Ionia,"Ionia County, Michigan",50,26067,26,67,38158,1950
Iosco,"Iosco County, Michigan",50,26069,26,69,10906,1950
Iron,"Iron County, Michigan",50,26071,26,71,17692,1950
Isabella,"Isabella County, Michigan",50,26073,26,73,28964,1950
Jackson,"Jackson County, Michigan",50,26075,26,75,107925,1950
Kalamazoo,"Kalamazoo County, Michigan",50,26077,26,77,126707,1950
Kalkaska,"Kalkaska County, Michigan",50,26079,26,79,4597,1950
Kent,"Kent County, Michigan",50,26081,26,81,288292,1950
Keweenaw,"Keweenaw County, Michigan",50,26083,26,83,2918,1950
Lake,"Lake County, Michigan",50,26085,26,85,5257,1950
Lapeer,"Lapeer County, Michigan",50,26087,26,87,35794,1950
Leelanau,"Leelanau County, Michigan",50,26089,26,89,8647,1950
Lenawee,"Lenawee County, Michigan",50,26091,26,91,64629,1950
Livingston,"Livingston County, Michigan",50,26093,26,93,26725,1950
Luce,"Luce County, Michigan",50,26095,26,95,8147,1950
Mackinac,"Mackinac County, Michigan",50,26097,26,97,9287,1950
Macomb,"Macomb County, Michigan",50,26099,26,99,184961,1950
Manistee,"Manistee County, Michigan",50,26101,26,101,18524,1950
Marquette,"Marquette County, Michigan",50,26103,26,103,47654,1950
Mason,"Mason County, Michigan",50,26105,26,105,20474,1950
Mecosta,"Mecosta County, Michigan",50,26107,26,107,18968,1950
Menominee,"Menominee County, Michigan",50,26109,26,109,25299,1950
Midland,"Midland County, Michigan",50,26111,26,111,35662,1950
Missaukee,"Missaukee County, Michigan",50,26113,26,113,7458,1950
Monroe,"Monroe County, Michigan",50,26115,26,115,75666,1950
Montcalm,"Montcalm County, Michigan",50,26117,26,117,31013,1950
Montmorency,"Montmorency County, Michigan",50,26119,26,119,4125,1950
Muskegon,"Muskegon County, Michigan",50,26121,26,121,121545,1950
Newaygo,"Newaygo County, Michigan",50,26123,26,123,21567,1950
Oakland,"Oakland County, Michigan",50,26125,26,125,396001,1950
Oceana,"Oceana County, Michigan",50,26127,26,127,16105,1950
Ogemaw,"Ogemaw County, Michigan",50,26129,26,129,9345,1950
Ontonagon,"Ontonagon County, Michigan",50,26131,26,131,10282,1950
Osceola,"Osceola County, Michigan",50,26133,26,133,13797,1950
Oscoda,"Oscoda County, Michigan",50,26135,26,135,3134,1950
Otsego,"Otsego County, Michigan",50,26137,26,137,6435,1950
Ottawa,"Ottawa County, Michigan",50,26139,26,139,73751,1950
