Area Name,Full Name,Summary Level,Federal Information Processing System Code,State Code,County Code,Total Population,Year
Presque Isle,"Presque Isle County, Michigan",50,26141,26,141,11996,1950
Roscommon,"Roscommon County, Michigan",50,26143,26,143,5916,1950
Saginaw,"Saginaw County, Michigan",50,26145,26,145,153515,1950
St Clair,"St Clair County, Michigan",50,26147,26,147,91599,1950
St Joseph,"St Joseph County, Michigan",50,26149,26,149,35071,1950
Sanilac,"Sanilac County, Michigan",50,26151,26,151,30837,1950
Schoolcraft,"Schoolcraft County, Michigan",50,26153,26,153,9148,1950
Shiawassee,"Shiawassee County, Michigan",50,26155,26,155,45967,1950
Tuscola,"Tuscola County, Michigan",50,26157,26,157,38258,1950
Van Buren,"Van Buren County, Michigan",50,26159,26,159,39184,1950
Washtenaw,"Washtenaw County, Michigan",50,26161,26,161,134606,1950
Wayne,"Wayne County, Michigan",50,26163,26,163,2435235,1950
Wexford,"Wexford County, Michigan",50,26165,26,165,18628,1950
