Area Name,Qualifying Area Name,Land Area,Summary Level,FIPS,State FIPS,County FIPS,Total Population,Year
Geo_name,Geo_QName,Geo_AREAL,Geo_SUMLEV,Geo_FIPS,Geo_STATE,Geo_COUNTY,SE_T001_001,1910
Alcona County,"Alcona County, Michigan",694.4297,50,2600010,260,10,5703,1910
Alger County,"Alger County, Michigan",937.4239,50,2600030,260,30,7675,1910
Allegan County,"Allegan County, Michigan",842.8192,50,2600050,260,50,39819,1910
Alpena County,"Alpena County, Michigan",594.6877,50,2600070,260,70,19965,1910
Antrim County,"Antrim County, Michigan",525.1273,50,2600090,260,90,15692,1910
Arenac County,"Arenac County, Michigan",368.0848,50,2600110,260,110,9640,1910
Baraga County,"Baraga County, Michigan",917.4614,50,2600130,260,130,6127,1910
Barry County,"Barry County, Michigan",576.8968,50,2600150,260,150,22633,1910
Bay County,"Bay County, Michigan",447.7316,50,2600170,260,170,68238,1910
Benzie County,"Benzie County, Michigan",347.6097,50,2600190,260,190,10638,1910
Berrien County,"Berrien County, Michigan",580.2342,50,2600210,260,210,53622,1910
Branch County,"Branch County, Michigan",519.4867,50,2600230,260,230,25605,1910
Calhoun County,"Calhoun County, Michigan",718.4351,50,2600250,260,250,56638,1910
Cass County,"Cass County, Michigan",508.4609,50,2600270,260,270,20624,1910
Charlevoix County,"Charlevoix County, Michigan",453.6193,50,2600290,260,290,19157,1910
Cheboygan County,"Cheboygan County, Michigan",795.7876,50,2600310,260,310,17872,1910
Chippewa County,"Chippewa County, Michigan",1580.488,50,2600330,260,330,24472,1910
Clare County,"Clare County, Michigan",575.2104,50,2600350,260,350,9240,1910
Clinton County,"Clinton County, Michigan",574.5684,50,2600370,260,370,23129,1910
Crawford County,"Crawford County, Michigan",563.3662,50,2600390,260,390,3934,1910
Delta County,"Delta County, Michigan",1179.583,50,2600410,260,410,30108,1910
Dickinson County,"Dickinson County, Michigan",777.0963,50,2600430,260,430,20524,1910
Eaton County,"Eaton County, Michigan",579.0171,50,2600450,260,450,30499,1910
Emmet County,"Emmet County, Michigan",483.2888,50,2600470,260,470,18561,1910
Genesee County,"Genesee County, Michigan",649.3376,50,2600490,260,490,64555,1910
Gladwin County,"Gladwin County, Michigan",516.4251,50,2600510,260,510,8413,1910
Gogebic County,"Gogebic County, Michigan",1144.035,50,2600530,260,530,23333,1910
Grand Traverse County,"Grand Traverse County, Michigan",490.1922,50,2600550,260,550,23784,1910
Gratiot County,"Gratiot County, Michigan",571.6023,50,2600570,260,570,28820,1910
Hillsdale County,"Hillsdale County, Michigan",607.1364,50,2600590,260,590,29673,1910
Houghton County,"Houghton County, Michigan",1041.62,50,2600610,260,610,88098,1910
Huron County,"Huron County, Michigan",838.8172,50,2600630,260,630,34758,1910
Ingham County,"Ingham County, Michigan",560.9346,50,2600650,260,650,53310,1910
Ionia County,"Ionia County, Michigan",580.2259,50,2600670,260,670,33550,1910
Iosco County,"Iosco County, Michigan",566.4088,50,2600690,260,690,9753,1910
Iron County,"Iron County, Michigan",1210.99,50,2600710,260,710,15164,1910
Isabella County,"Isabella County, Michigan",577.7434,50,2600730,260,730,23029,1910
