Area Name,Qualifying Area Name,Land Area,Summary Level,FIPS,State FIPS,County FIPS,Total Population,Year
Jackson County,"Jackson County, Michigan",723.7592,50,2600750,260,750,53426,1910
Kalamazoo County,"Kalamazoo County, Michigan",580.1758,50,2600770,260,770,60427,1910
Kalkaska County,"Kalkaska County, Michigan",570.7525,50,2600790,260,790,8097,1910
Kent County,"Kent County, Michigan",872.1724,50,2600810,260,810,159145,1910
Keweenaw County,"Keweenaw County, Michigan",562.9056,50,2600830,260,830,7156,1910
Lake County,"Lake County, Michigan",574.5975,50,2600850,260,850,4939,1910
Lapeer County,"Lapeer County, Michigan",663.077,50,2600870,260,870,26033,1910
Leelanau County,"Leelanau County, Michigan",375.9235,50,2600890,260,890,10608,1910
Lenawee County,"Lenawee County, Michigan",761.3084,50,2600910,260,910,47907,1910
Livingston County,"Livingston County, Michigan",585.4269,50,2600930,260,930,17736,1910
Luce County,"Luce County, Michigan",927.283,50,2600950,260,950,4004,1910
Mackinac County,"Mackinac County, Michigan",1062.886,50,2600970,260,970,9249,1910
Macomb County,"Macomb County, Michigan",482.8591,50,2600990,260,990,32606,1910
Manistee County,"Manistee County, Michigan",557.0196,50,2601010,260,1010,26688,1910
Marquette County,"Marquette County, Michigan",1870.44,50,2601030,260,1030,46739,1910
Mason County,"Mason County, Michigan",510.0613,50,2601050,260,1050,21832,1910
Mecosta County,"Mecosta County, Michigan",571.0979,50,2601070,260,1070,19466,1910
Menominee County,"Menominee County, Michigan",1051.705,50,2601090,260,1090,25648,1910
Midland County,"Midland County, Michigan",527.8838,50,2601110,260,1110,14005,1910
Missaukee County,"Missaukee County, Michigan",573.8146,50,2601130,260,1130,10606,1910
Monroe County,"Monroe County, Michigan",557.5548,50,2601150,260,1150,32917,1910
Montcalm County,"Montcalm County, Michigan",720.9766,50,2601170,260,1170,32069,1910
Montmorency County,"Montmorency County, Michigan",562.4328,50,2601190,260,1190,3755,1910
Muskegon County,"Muskegon County, Michigan",527.1947,50,2601210,260,1210,40577,1910
Newaygo County,"Newaygo County, Michigan",861.3841,50,2601230,260,1230,19220,1910
Oakland County,"Oakland County, Michigan",907.9938,50,2601250,260,1250,49576,1910
Oceana County,"Oceana County, Michigan",546.5677,50,2601270,260,1270,18379,1910
Ogemaw County,"Ogemaw County, Michigan",574.6239,50,2601290,260,1290,8907,1910
Ontonagon County,"Ontonagon County, Michigan",1328.738,50,2601310,260,1310,8650,1910
Osceola County,"Osceola County, Michigan",573.0979,50,2601330,260,1330,17889,1910
Oscoda County,"Oscoda County, Michigan",571.5647,50,2601350,260,1350,2027,1910
Otsego County,"Otsego County, Michigan",525.9751,50,2601370,260,1370,6552,1910
Ottawa County,"Ottawa County, Michigan",577.3601,50,2601390,260,1390,45301,1910
Presque Isle County,"Presque Isle County, Michigan",684.9969,50,2601410,260,1410,11249,1910
Roscommon County,"Roscommon County, Michigan",579.8375,50,2601430,260,1430,2274,1910
Saginaw County,"Saginaw County, Michigan",815.7729,50,2601450,260,1450,89290,1910
St Clair County,"St Clair County, Michigan",726.1126,50,2601470,260,1470,52341,1910
St Joseph County,"St Joseph County, Michigan",521.151,50,2601490,260,1490,25499,1910
Sanilac County,"Sanilac County, Michigan",964.0111,50,2601510,260,1510,33930,1910
Schoolcraft County,"Schoolcraft County, Michigan",1221.544,50,2601530,260,1530,8681,1910
Shiawassee County,"Shiawassee County, Michigan",540.7278,50,2601550,260,1550,33246,1910
Tuscola County,"Tuscola County, Michigan",814.2921,50,2601570,260,1570,34913,1910
Van Buren County,"Van Buren County, Michigan",623.1437,50,2601590,260,1590,33185,1910
Washtenaw County,"Washtenaw County, Michigan",722.5212,50,2601610,260,1610,44714,1910
Wayne County,"Wayne County, Michigan",617.6395,50,2601630,260,1630,531591,1910
Wexford County,"Wexford County, Michigan",575.8341,50,2601650,260,1650,20769,1910
