Area Name,Qualifying Name,NHGIS GIS Join Field,NHGIS GISJoin2 Field,Summary Level,FIPS,FIPS State Code,FIPS County Code,Total Population,Year
Roscommon County,"Roscommon County, Michigan",G2601430,2601430,11,26143,26,143,16374,1980
Saginaw County,"Saginaw County, Michigan",G2601450,2601450,11,26145,26,145,228059,1980
St. Clair County,"St. Clair County, Michigan",G2601470,2601470,11,26147,26,147,138802,1980
St. Joseph County,"St. Joseph County, Michigan",G2601490,2601490,11,26149,26,149,56083,1980
Sanilac County,"Sanilac County, Michigan",G2601510,2601510,11,26151,26,151,40789,1980
Schoolcraft County,"Schoolcraft County, Michigan",G2601530,2601530,11,26153,26,153,8575,1980
Shiawassee County,"Shiawassee County, Michigan",G2601550,2601550,11,26155,26,155,71140,1980
Tuscola County,"Tuscola County, Michigan",G2601570,2601570,11,26157,26,157,56961,1980
Van Buren County,"Van Buren County, Michigan",G2601590,2601590,11,26159,26,159,66814,1980
Washtenaw County,"Washtenaw County, Michigan",G2601610,2601610,11,26161,26,161,264748,1980
Wayne County,"Wayne County, Michigan",G2601630,2601630,11,26163,26,163,2337891,1980
Wexford County,"Wexford County, Michigan",G2601650,2601650,11,26165,26,165,25102,1980
