Area Name,Qualifying Name,Area (Land),Area (Water),Summary Level,Geographic Component,Region,Division,FIPS,State (FIPS),County,Total Population,Year
Geo_NAME,Geo_QName,Geo_AREALAND,Geo_AREAWATR,Geo_SUMLEV,Geo_GEOCOMP,Geo_REGION,Geo_DIVISION,Geo_FIPS,Geo_STATE,Geo_COUNTY,SE_T001_001,2010
Alcona County,"Alcona County, Michigan",1747168145,2890419533,50,0,2,3,26001,26,1,10942,2010
Alger County,"Alger County, Michigan",2370019042,10703554733,50,0,2,3,26003,26,3,9601,2010
Allegan County,"Allegan County, Michigan",2137337922,2610856790,50,0,2,3,26005,26,5,111408,2010
Alpena County,"Alpena County, Michigan",1481110566,2908717141,50,0,2,3,26007,26,7,29598,2010
Antrim County,"Antrim County, Michigan",1232064018,326513140,50,0,2,3,26009,26,9,23580,2010
Arenac County,"Arenac County, Michigan",940660726,822319209,50,0,2,3,26011,26,11,15899,2010
Baraga County,"Baraga County, Michigan",2326474801,441629543,50,0,2,3,26013,26,13,8860,2010
Barry County,"Barry County, Michigan",1432500402,62029172,50,0,2,3,26015,26,15,59173,2010
Bay County,"Bay County, Michigan",1145557748,487991946,50,0,2,3,26017,26,17,107771,2010
Benzie County,"Benzie County, Michigan",828028289,1398240608,50,0,2,3,26019,26,19,17525,2010
Berrien County,"Berrien County, Michigan",1470457874,2625535357,50,0,2,3,26021,26,21,156813,2010
Branch County,"Branch County, Michigan",1311488743,34465281,50,0,2,3,26023,26,23,45248,2010
Calhoun County,"Calhoun County, Michigan",1829135298,31390284,50,0,2,3,26025,26,25,136146,2010
Cass County,"Cass County, Michigan",1269253670,47281098,50,0,2,3,26027,26,27,52293,2010
Charlevoix County,"Charlevoix County, Michigan",1078313350,2522971210,50,0,2,3,26029,26,29,25949,2010
Cheboygan County,"Cheboygan County, Michigan",1852525483,440605827,50,0,2,3,26031,26,31,26152,2010
Chippewa County,"Chippewa County, Michigan",4036289692,2952509199,50,0,2,3,26033,26,33,38520,2010
Clare County,"Clare County, Michigan",1461569881,28552600,50,0,2,3,26035,26,35,30926,2010
Clinton County,"Clinton County, Michigan",1466991079,21106494,50,0,2,3,26037,26,37,75382,2010
Crawford County,"Crawford County, Michigan",1440758147,18031692,50,0,2,3,26039,26,39,14074,2010
Delta County,"Delta County, Michigan",3033124287,2124381333,50,0,2,3,26041,26,41,37069,2010
Dickinson County,"Dickinson County, Michigan",1972018016,40533105,50,0,2,3,26043,26,43,26168,2010
Eaton County,"Eaton County, Michigan",1489695507,11028096,50,0,2,3,26045,26,45,107759,2010
Emmet County,"Emmet County, Michigan",1210803605,1073558172,50,0,2,3,26047,26,47,32694,2010
Genesee County,"Genesee County, Michigan",1649763682,32658914,50,0,2,3,26049,26,49,425790,2010
