Area Name,Qualifying Name,Area (Land),Area (Water),Summary Level,Geographic Component,Region,Division,FIPS,State (FIPS),County,Total Population,Year
Gladwin County,"Gladwin County, Michigan",1299601369,36650228,50,0,2,3,26051,26,51,25692,2010
Gogebic County,"Gogebic County, Michigan",2853775286,969936900,50,0,2,3,26053,26,53,16427,2010
Grand Traverse County,"Grand Traverse County, Michigan",1202611911,354786289,50,0,2,3,26055,26,55,86986,2010
Gratiot County,"Gratiot County, Michigan",1472313856,8150717,50,0,2,3,26057,26,57,42476,2010
Hillsdale County,"Hillsdale County, Michigan",1549158422,22980609,50,0,2,3,26059,26,59,46688,2010
Houghton County,"Houghton County, Michigan",2613554735,1275314652,50,0,2,3,26061,26,61,36628,2010
Huron County,"Huron County, Michigan",2164469622,3369824158,50,0,2,3,26063,26,63,33118,2010
Ingham County,"Ingham County, Michigan",1440343968,11894285,50,0,2,3,26065,26,65,280895,2010
Ionia County,"Ionia County, Michigan",1479671240,22641747,50,0,2,3,26067,26,67,63905,2010
Iosco County,"Iosco County, Michigan",1422153154,3473073181,50,0,2,3,26069,26,69,25887,2010
Iron County,"Iron County, Michigan",3020312287,116706564,50,0,2,3,26071,26,71,11817,2010
Isabella County,"Isabella County, Michigan",1483225590,12960487,50,0,2,3,26073,26,73,70311,2010
Jackson County,"Jackson County, Michigan",1817306121,56540223,50,0,2,3,26075,26,75,160248,2010
Kalamazoo County,"Kalamazoo County, Michigan",1454688724,48274044,50,0,2,3,26077,26,77,250331,2010
Kalkaska County,"Kalkaska County, Michigan",1450043265,28078610,50,0,2,3,26079,26,79,17153,2010
Kent County,"Kent County, Michigan",2193584722,64739558,50,0,2,3,26081,26,81,602622,2010
Keweenaw County,"Keweenaw County, Michigan",1398883200,14053475910,50,0,2,3,26083,26,83,2156,2010
Lake County,"Lake County, Michigan",1469481397,17896759,50,0,2,3,26085,26,85,11539,2010
Lapeer County,"Lapeer County, Michigan",1665397257,51362519,50,0,2,3,26087,26,87,88319,2010
Leelanau County,"Leelanau County, Michigan",899168573,5659178382,50,0,2,3,26089,26,89,21708,2010
Lenawee County,"Lenawee County, Michigan",1941337767,30701176,50,0,2,3,26091,26,91,99892,2010
Livingston County,"Livingston County, Michigan",1464001028,52188299,50,0,2,3,26093,26,93,180967,2010
Luce County,"Luce County, Michigan",2328602234,2624718308,50,0,2,3,26095,26,95,6631,2010
Mackinac County,"Mackinac County, Michigan",2645851022,2794791851,50,0,2,3,26097,26,97,11113,2010
Macomb County,"Macomb County, Michigan",1241183094,237312769,50,0,2,3,26099,26,99,840978,2010
Manistee County,"Manistee County, Michigan",1404159906,1912485293,50,0,2,3,26101,26,101,24733,2010
Marquette County,"Marquette County, Michigan",4683737366,4185779618,50,0,2,3,26103,26,103,67077,2010
Mason County,"Mason County, Michigan",1282232870,1935676016,50,0,2,3,26105,26,105,28705,2010
Mecosta County,"Mecosta County, Michigan",1437626850,41759550,50,0,2,3,26107,26,107,42798,2010
Menominee County,"Menominee County, Michigan",2704152851,761800249,50,0,2,3,26109,26,109,24029,2010
Midland County,"Midland County, Michigan",1337087878,30601740,50,0,2,3,26111,26,111,83629,2010
Missaukee County,"Missaukee County, Michigan",1462634072,23577412,50,0,2,3,26113,26,113,14849,2010
Monroe County,"Monroe County, Michigan",1422924260,338316259,50,0,2,3,26115,26,115,152021,2010
Montcalm County,"Montcalm County, Michigan",1826976057,39956625,50,0,2,3,26117,26,117,63342,2010
Montmorency County,"Montmorency County, Michigan",1415851499,41411010,50,0,2,3,26119,26,119,9765,2010
Muskegon County,"Muskegon County, Michigan",1293040828,2488405138,50,0,2,3,26121,26,121,172188,2010
Newaygo County,"Newaygo County, Michigan",2106188282,125575601,50,0,2,3,26123,26,123,48460,2010
Oakland County,"Oakland County, Michigan",2247237402,102643656,50,0,2,3,26125,26,125,1202362,2010
Oceana County,"Oceana County, Michigan",1326257820,2056136375,50,0,2,3,26127,26,127,26570,2010
Ogemaw County,"Ogemaw County, Michigan",1459425916,29693554,50,0,2,3,26129,26,129,21699,2010
Ontonagon County,"Ontonagon County, Michigan",3396056253,6292619305,50,0,2,3,26131,26,131,6780,2010
Osceola County,"Osceola County, Michigan",1466946699,17365931,50,0,2,3,26133,26,133,23528,2010
Oscoda County,"Oscoda County, Michigan",1465236876,15152992,50,0,2,3,26135,26,135,8640,2010
Otsego County,"Otsego County, Michigan",1333769920,29053674,50,0,2,3,26137,26,137,24164,2010
Ottawa County,"Ottawa County, Michigan",1459373665,2765957666,50,0,2,3,26139,26,139,263801,2010
Presque Isle County,"Presque Isle County, Michigan",1706074274,4957333304,50,0,2,3,26141,26,141,13376,2010
Roscommon County,"Roscommon County, Michigan",1345849993,156424239,50,0,2,3,26143,26,143,24449,2010
Saginaw County,"Saginaw County, Michigan",2072284641,41056727,50,0,2,3,26145,26,145,200169,2010
St. Clair County,"St. Clair County, Michigan",1867822812,298719230,50,0,2,3,26147,26,147,163040,2010
St. Joseph County,"St. Joseph County, Michigan",1296524618,52942658,50,0,2,3,26149,26,149,61295,2010
Sanilac County,"Sanilac County, Michigan",2493035045,1624894854,50,0,2,3,26151,26,151,43114,2010
Schoolcraft County,"Schoolcraft County, Michigan",3033804451,1845681047,50,0,2,3,26153,26,153,8485,2010
Shiawassee County,"Shiawassee County, Michigan",1374422924,26624209,50,0,2,3,26155,26,155,70648,2010
Tuscola County,"Tuscola County, Michigan",2080088206,286929756,50,0,2,3,26157,26,157,55729,2010
Van Buren County,"Van Buren County, Michigan",1573351092,1249470315,50,0,2,3,26159,26,159,76258,2010
Washtenaw County,"Washtenaw County, Michigan",1828442046,42615161,50,0,2,3,26161,26,161,344791,2010
Wayne County,"Wayne County, Michigan",1585280173,156946749,50,0,2,3,26163,26,163,1820584,2010
Wexford County,"Wexford County, Michigan",1463347858,27101225,50,0,2,3,26165,26,165,32735,2010
